dia,mes,hh,mm,ss,tau
1,1,9,21,00,0
2,1,9,21,44,0
3,1,9,22,33,0
4,1,9,23,24,0
5,1,9,24,20,0
6,1,9,25,20,0
7,1,9,26,23,0
8,1,9,27,29,0
9,1,9,28,39,0
10,1,9,29,51,0
11,1,9,31,08,0
12,1,9,32,28,0
13,1,9,33,51,0
14,1,9,35,17,0
15,1,9,36,47,0
16,1,9,38,18,0
17,1,9,39,54,0
18,1,9,41,31,0
19,1,9,43,11,0
20,1,9,44,54,0
21,1,9,46,41,0
22,1,9,48,28,0
23,1,9,50,20,0
24,1,9,52,12,0
25,1,9,54,08,0
26,1,9,56,06,0
27,1,9,58,06,0
28,1,10,00,07,0
29,1,10,02,11,0
30,1,10,04,18,0
31,1,10,06,25,0
1,2,10,08,34,0
2,2,10,10,46,0
3,2,10,12,59,0
4,2,10,15,14,0
5,2,10,17,29,0
6,2,10,19,47,0
7,2,10,22,07,0
8,2,10,24,27,0
9,2,10,26,49,0
10,2,10,29,11,0
11,2,10,31,36,0
12,2,10,34,00,0
13,2,10,36,27,0
14,2,10,38,54,0
15,2,10,41,23,0
16,2,10,43,52,0
17,2,10,46,22,0
18,2,10,48,53,0
19,2,10,51,26,0
20,2,10,53,58,0
21,2,10,56,32,0
22,2,10,59,06,0
23,2,11,01,40,0
24,2,11,04,16,0
25,2,11,06,52,0
26,2,11,9,28,0
27,2,11,12,05,0
28,2,11,14,43,0
1,3,11,17,21,0
2,3,11,19,59,0
3,3,11,22,38,0
4,3,11,25,17,0
5,3,11,27,56,0
6,3,11,30,36,0
7,3,11,33,16,0
8,3,11,35,56,0
9,3,11,38,37,0
10,3,11,41,18,0
11,3,11,43,59,0
12,3,11,46,39,0
13,3,11,49,20,0
14,3,11,52,02,0
15,3,11,54,43,0
16,3,11,57,24,0
17,3,12,00,06,0
18,3,12,02,47,0
19,3,12,05,29,0
20,3,12,08,11,0
21,3,12,10,52,0
22,3,12,13,34,0
23,3,12,16,14,0
24,3,12,18,56,0
25,3,12,21,36,0
26,3,12,24,18,0
27,3,12,26,58,0
28,3,12,29,39,0
29,3,12,32,20,0
30,3,12,35,00,0
31,3,12,37,40,0
1,4,12,40,20,0
2,4,12,42,59,0
3,4,12,45,38,0
4,4,12,48,17,0
5,4,12,50,55,0
6,4,12,53,33,0
7,4,12,56,11,0
8,4,12,58,48,0
9,4,13,01,25,0
10,4,13,04,01,0
11,4,13,06,37,0
12,4,13,9,12,0
13,4,13,11,47,0
14,4,13,14,21,0
15,4,13,16,55,0
16,4,13,19,28,0
17,4,13,21,59,0
18,4,13,24,31,0
19,4,13,27,01,0
20,4,13,29,31,0
21,4,13,32,00,0
22,4,13,34,28,0
23,4,13,36,55,0
24,4,13,39,21,0
25,4,13,41,47,0
26,4,13,44,11,0
27,4,13,46,34,0
28,4,13,48,56,0
29,4,13,51,17,0
30,4,13,53,37,0
1,5,13,55,55,0
2,5,13,58,12,0
3,5,14,00,28,0
4,5,14,02,42,0
5,5,14,04,55,0
6,5,14,07,06,0
7,5,14,9,17,0
8,5,14,11,24,0
9,5,14,13,31,0
10,5,14,15,36,0
11,5,14,17,38,0
12,5,14,19,39,0
13,5,14,21,38,0
14,5,14,23,35,0
15,5,14,25,31,0
16,5,14,27,23,0
17,5,14,29,14,0
18,5,14,31,03,0
19,5,14,32,50,0
20,5,14,34,34,0
21,5,14,36,15,0
22,5,14,37,54,0
23,5,14,39,30,0
24,5,14,41,04,0
25,5,14,42,35,0
26,5,14,44,04,0
27,5,14,45,30,0
28,5,14,46,53,0
29,5,14,48,13,0
30,5,14,49,30,0
31,5,14,50,44,0
1,6,14,51,55,0
2,6,14,53,03,0
3,6,14,54,08,0
4,6,14,55,9,0
5,6,14,56,08,0
6,6,14,57,03,0
7,6,14,57,54,0
8,6,14,58,42,0
9,6,14,59,27,0
10,6,15,00,9,0
11,6,15,00,46,0
12,6,15,01,20,0
13,6,15,01,51,0
14,6,15,02,18,0
15,6,15,02,42,0
16,6,15,03,01,0
17,6,15,03,18,0
18,6,15,03,30,0
19,6,15,03,39,0
20,6,15,03,44,0
21,6,15,03,45,0
22,6,15,03,44,0
23,6,15,03,37,0
24,6,15,03,28,0
25,6,15,03,15,0
26,6,15,02,58,0
27,6,15,02,38,0
28,6,15,02,13,0
29,6,15,01,46,0
30,6,15,01,15,0
1,7,15,00,40,0
2,7,15,00,01,0
3,7,14,59,20,0
4,7,14,58,35,0
5,7,14,57,45,0
6,7,14,56,54,0
7,7,14,55,59,0
8,7,14,55,00,0
9,7,14,53,58,0
10,7,14,52,54,0
11,7,14,51,45,0
12,7,14,50,34,0
13,7,14,49,20,0
14,7,14,48,04,0
15,7,14,46,44,0
16,7,14,45,21,0
17,7,14,43,55,0
18,7,14,42,27,0
19,7,14,40,56,0
20,7,14,39,23,0
21,7,14,37,46,0
22,7,14,36,08,0
23,7,14,34,27,0
24,7,14,32,44,0
25,7,14,30,58,0
26,7,14,29,10,0
27,7,14,27,21,0
28,7,14,25,28,0
29,7,14,23,34,0
30,7,14,21,38,0
31,7,14,19,41,0
1,8,14,17,40,0
2,8,14,15,39,0
3,8,14,13,35,0
4,8,14,11,30,0
5,8,14,9,24,0
6,8,14,07,15,0
7,8,14,05,06,0
8,8,14,02,54,0
9,8,14,00,42,0
10,8,13,58,28,0
11,8,13,56,12,0
12,8,13,53,56,0
13,8,13,51,38,0
14,8,13,49,19,0
15,8,13,46,59,0
16,8,13,44,38,0
17,8,13,42,15,0
18,8,13,39,52,0
19,8,13,37,28,0
20,8,13,35,03,0
21,8,13,32,37,0
22,8,13,30,11,0
23,8,13,27,42,0
24,8,13,25,14,0
25,8,13,22,45,0
26,8,13,20,15,0
27,8,13,17,45,0
28,8,13,15,14,0
29,8,13,12,42,0
30,8,13,10,10,0
31,8,13,07,37,0
1,9,13,05,03,0
2,9,13,02,29,0
3,9,12,59,56,0
4,9,12,57,21,0
5,9,12,54,45,0
6,9,12,52,10,0
7,9,12,49,34,0
8,9,12,46,57,0
9,9,12,44,21,0
10,9,12,41,44,0
11,9,12,39,07,0
12,9,12,36,30,0
13,9,12,33,52,0
14,9,12,31,14,0
15,9,12,28,36,0
16,9,12,25,58,0
17,9,12,23,19,0
18,9,12,20,40,0
19,9,12,18,02,0
20,9,12,15,23,0
21,9,12,12,44,0
22,9,12,10,06,0
23,9,12,07,26,0
24,9,12,04,48,0
25,9,12,02,9,0
26,9,11,59,29,0
27,9,11,56,50,0
28,9,11,54,12,0
29,9,11,51,32,0
30,9,11,48,54,0
1,10,11,46,15,0
2,10,11,43,37,0
3,10,11,40,58,0
4,10,11,38,20,0
5,10,11,35,42,0
6,10,11,33,04,0
7,10,11,30,27,0
8,10,11,27,49,0
9,10,11,25,12,0
10,10,11,22,35,0
11,10,11,19,58,0
12,10,11,17,23,0
13,10,11,14,47,0
14,10,11,12,12,0
15,10,11,9,37,0
16,10,11,07,03,0
17,10,11,04,29,0
18,10,11,01,56,0
19,10,10,59,23,0
20,10,10,56,50,0
21,10,10,54,20,0
22,10,10,51,49,0
23,10,10,49,18,0
24,10,10,46,49,0
25,10,10,44,20,0
26,10,10,41,53,0
27,10,10,39,26,0
28,10,10,37,00,0
29,10,10,34,36,0
30,10,10,32,12,0
31,10,10,29,49,0
1,11,10,27,28,0
2,11,10,25,08,0
3,11,10,22,48,0
4,11,10,20,30,0
5,11,10,18,14,0
6,11,10,15,59,0
7,11,10,13,45,0
8,11,10,11,32,0
9,11,10,9,22,0
10,11,10,07,14,0
11,11,10,05,07,0
12,11,10,03,01,0
13,11,10,00,57,0
14,11,9,58,56,0
15,11,9,56,56,0
16,11,9,54,58,0
17,11,9,53,04,0
18,11,9,51,10,0
19,11,9,49,19,0
20,11,9,47,31,0
21,11,9,45,44,0
22,11,9,44,01,0
23,11,9,42,19,0
24,11,9,40,42,0
25,11,9,39,05,0
26,11,9,37,33,0
27,11,9,36,03,0
